subject,index,n_since_last_click,channel
14,1,0,23
14,1,0,24
14,1,0,30
14,1,0,32
14,1,0,33
14,1,0,38
14,1,0,39
14,1,0,45
14,1,0,48
14,1,0,50
14,1,0,51
14,1,0,53
14,1,0,59
14,1,0,60
14,2,0,9
14,2,0,23
14,2,0,24
14,2,0,30
14,2,0,32
14,2,0,33
14,2,0,38
14,2,0,39
14,2,0,45
14,2,0,48
14,2,0,50
14,2,0,51
14,2,0,53
14,2,0,59
14,2,0,60
14,3,0,30
14,3,0,32
14,3,0,38
14,3,0,39
14,3,0,45
14,3,0,48
14,3,0,50
14,3,0,51
14,3,0,59
14,3,0,60
14,4,0,9
14,4,0,24
14,4,0,30
14,4,0,32
14,4,0,33
14,4,0,38
14,4,0,39
14,4,0,45
14,4,0,48
14,4,0,50
14,4,0,51
14,4,0,53
14,4,0,59
14,4,0,60
14,5,0,9
14,5,0,23
14,5,0,24
14,5,0,30
14,5,0,32
14,5,0,33
14,5,0,38
14,5,0,39
14,5,0,45
14,5,0,48
14,5,0,50
14,5,0,51
14,5,0,53
14,5,0,59
14,5,0,60
14,6,0,23
14,6,0,24
14,6,0,30
14,6,0,32
14,6,0,33
14,6,0,38
14,6,0,48
14,6,0,50
14,6,0,51
14,6,0,53
14,6,0,59
14,6,0,60
14,7,6,9
14,7,6,23
14,7,6,24
14,7,6,30
14,7,6,32
14,7,6,33
14,7,6,38
14,7,6,39
14,7,6,45
14,7,6,48
14,7,6,50
14,7,6,51
14,7,6,53
14,7,6,59
14,7,6,60
14,8,10,9
14,8,10,23
14,8,10,24
14,8,10,38
14,8,10,45
14,8,10,48
14,8,10,50
14,8,10,51
14,8,10,53
14,8,10,59
14,8,10,60
14,9,0,9
14,9,0,23
14,9,0,24
14,9,0,30
14,9,0,32
14,9,0,33
14,9,0,38
14,9,0,39
14,9,0,48
14,9,0,50
14,9,0,51
14,9,0,53
14,9,0,59
14,9,0,60
14,10,5,9
14,10,5,23
14,10,5,24
14,10,5,30
14,10,5,32
14,10,5,39
14,10,5,48
14,10,5,50
14,10,5,51
14,10,5,53
14,10,5,59
14,11,0,9
14,11,0,23
14,11,0,24
14,11,0,30
14,11,0,32
14,11,0,33
14,11,0,38
14,11,0,39
14,11,0,45
14,11,0,48
14,11,0,50
14,11,0,51
14,11,0,53
14,11,0,59
14,11,0,60
14,12,0,9
14,12,0,23
14,12,0,24
14,12,0,30
14,12,0,32
14,12,0,33
14,12,0,38
14,12,0,39
14,12,0,45
14,12,0,48
14,12,0,50
14,12,0,51
14,12,0,53
14,12,0,59
14,12,0,60
14,13,0,23
14,13,0,24
14,13,0,30
14,13,0,32
14,13,0,33
14,13,0,38
14,13,0,45
14,13,0,48
14,13,0,50
14,13,0,51
14,13,0,53
14,13,0,59
14,14,0,9
14,14,0,23
14,14,0,24
14,14,0,30
14,14,0,32
14,14,0,33
14,14,0,38
14,14,0,39
14,14,0,45
14,14,0,48
14,14,0,50
14,14,0,51
14,14,0,53
14,14,0,59
14,14,0,60
14,15,1,9
14,15,1,23
14,15,1,24
14,15,1,30
14,15,1,32
14,15,1,33
14,15,1,38
14,15,1,39
14,15,1,45
14,15,1,48
14,15,1,50
14,15,1,51
14,15,1,53
14,15,1,59
14,15,1,60
14,16,0,9
14,16,0,23
14,16,0,24
14,16,0,30
14,16,0,32
14,16,0,33
14,16,0,45
14,16,0,48
14,16,0,50
14,16,0,51
14,16,0,59
14,17,14,9
14,17,14,23
14,17,14,24
14,17,14,30
14,17,14,32
14,17,14,33
14,17,14,39
14,17,14,45
14,17,14,48
14,17,14,50
14,17,14,51
14,17,14,53
14,17,14,59
14,17,14,60
14,18,8,9
14,18,8,23
14,18,8,24
14,18,8,30
14,18,8,32
14,18,8,33
14,18,8,38
14,18,8,39
14,18,8,45
14,18,8,48
14,18,8,50
14,18,8,51
14,18,8,53
14,18,8,59
14,18,8,60
14,19,5,9
14,19,5,23
14,19,5,24
14,19,5,30
14,19,5,32
14,19,5,33
14,19,5,38
14,19,5,39
14,19,5,45
14,19,5,48
14,19,5,50
14,19,5,51
14,19,5,53
14,19,5,60
14,20,3,9
14,20,3,23
14,20,3,24
14,20,3,30
14,20,3,32
14,20,3,33
14,20,3,38
14,20,3,45
14,20,3,50
14,20,3,51
14,20,3,53
14,20,3,59
14,20,3,60
14,21,0,9
14,21,0,23
14,21,0,24
14,21,0,30
14,21,0,32
14,21,0,33
14,21,0,38
14,21,0,39
14,21,0,45
14,21,0,50
14,21,0,51
14,21,0,53
14,21,0,59
14,21,0,60
14,22,20,23
14,22,20,24
14,22,20,33
14,22,20,38
14,22,20,39
14,22,20,45
14,22,20,48
14,22,20,50
14,22,20,51
14,22,20,53
14,22,20,59
14,22,20,60
14,23,0,9
14,23,0,23
14,23,0,24
14,23,0,30
14,23,0,32
14,23,0,33
14,23,0,38
14,23,0,45
14,23,0,48
14,23,0,50
14,23,0,51
14,23,0,53
14,23,0,60
14,24,0,9
14,24,0,23
14,24,0,24
14,24,0,30
14,24,0,32
14,24,0,33
14,24,0,38
14,24,0,39
14,24,0,45
14,24,0,48
14,24,0,50
14,24,0,51
14,24,0,53
14,24,0,59
14,24,0,60
14,25,0,9
14,25,0,23
14,25,0,24
14,25,0,30
14,25,0,32
14,25,0,33
14,25,0,38
14,25,0,39
14,25,0,45
14,25,0,48
14,25,0,50
14,25,0,51
14,25,0,53
14,25,0,59
14,25,0,60
14,26,17,9
14,26,17,23
14,26,17,24
14,26,17,30
14,26,17,32
14,26,17,33
14,26,17,38
14,26,17,39
14,26,17,45
14,26,17,48
14,26,17,51
14,26,17,53
14,26,17,59
14,26,17,60
14,27,16,9
14,27,16,23
14,27,16,24
14,27,16,30
14,27,16,38
14,27,16,39
14,27,16,48
14,27,16,51
14,27,16,53
14,27,16,59
14,27,16,60
14,28,43,9
14,28,43,23
14,28,43,24
14,28,43,30
14,28,43,33
14,28,43,38
14,28,43,39
14,28,43,45
14,28,43,48
14,28,43,50
14,28,43,51
14,28,43,53
14,28,43,59
14,28,43,60
14,29,0,9
14,29,0,23
14,29,0,24
14,29,0,30
14,29,0,32
14,29,0,33
14,29,0,38
14,29,0,45
14,29,0,48
14,29,0,50
14,29,0,51
14,29,0,53
14,29,0,59
14,29,0,60
14,30,9,9
14,30,9,23
14,30,9,24
14,30,9,30
14,30,9,32
14,30,9,33
14,30,9,38
14,30,9,39
14,30,9,45
14,30,9,48
14,30,9,50
14,30,9,51
14,30,9,53
14,30,9,59
14,30,9,60
14,31,0,9
14,31,0,23
14,31,0,24
14,31,0,30
14,31,0,32
14,31,0,33
14,31,0,38
14,31,0,39
14,31,0,45
14,31,0,48
14,31,0,50
14,31,0,51
14,31,0,60
14,32,12,9
14,32,12,23
14,32,12,24
14,32,12,30
14,32,12,32
14,32,12,33
14,32,12,38
14,32,12,39
14,32,12,45
14,32,12,48
14,32,12,50
14,32,12,51
14,32,12,53
14,32,12,59
14,32,12,60
14,33,0,9
14,33,0,23
14,33,0,24
14,33,0,30
14,33,0,33
14,33,0,38
14,33,0,39
14,33,0,45
14,33,0,50
14,33,0,51
14,33,0,53
14,33,0,59
14,33,0,60
14,34,0,9
14,34,0,23
14,34,0,24
14,34,0,30
14,34,0,32
14,34,0,33
14,34,0,38
14,34,0,39
14,34,0,45
14,34,0,50
14,34,0,51
14,34,0,53
14,34,0,59
14,34,0,60
14,35,0,9
14,35,0,23
14,35,0,24
14,35,0,30
14,35,0,32
14,35,0,33
14,35,0,38
14,35,0,39
14,35,0,45
14,35,0,48
14,35,0,50
14,35,0,51
14,35,0,53
14,35,0,59
14,35,0,60
14,36,14,9
14,36,14,23
14,36,14,24
14,36,14,30
14,36,14,32
14,36,14,33
14,36,14,38
14,36,14,45
14,36,14,48
14,36,14,50
14,36,14,51
14,36,14,53
14,36,14,59
14,36,14,60
14,37,53,9
14,37,53,23
14,37,53,24
14,37,53,30
14,37,53,32
14,37,53,33
14,37,53,38
14,37,53,39
14,37,53,45
14,37,53,48
14,37,53,50
14,37,53,51
14,37,53,53
14,37,53,59
14,37,53,60
14,38,0,9
14,38,0,23
14,38,0,24
14,38,0,30
14,38,0,32
14,38,0,33
14,38,0,38
14,38,0,39
14,38,0,45
14,38,0,48
14,38,0,50
14,38,0,51
14,38,0,53
14,38,0,59
14,38,0,60
14,39,6,24
14,39,6,30
14,39,6,32
14,39,6,33
14,39,6,38
14,39,6,39
14,39,6,48
14,39,6,50
14,39,6,51
14,39,6,53
14,39,6,59
14,39,6,60
14,40,0,9
14,40,0,23
14,40,0,24
14,40,0,30
14,40,0,32
14,40,0,33
14,40,0,38
14,40,0,39
14,40,0,48
14,40,0,50
14,40,0,51
14,40,0,53
14,40,0,59
14,40,0,60
14,41,0,9
14,41,0,23
14,41,0,24
14,41,0,30
14,41,0,32
14,41,0,33
14,41,0,38
14,41,0,39
14,41,0,45
14,41,0,48
14,41,0,50
14,41,0,51
14,41,0,53
14,41,0,59
14,41,0,60
14,42,80,9
14,42,80,23
14,42,80,24
14,42,80,30
14,42,80,32
14,42,80,33
14,42,80,38
14,42,80,39
14,42,80,45
14,42,80,48
14,42,80,50
14,42,80,51
14,42,80,53
14,42,80,60
14,43,0,9
14,43,0,23
14,43,0,24
14,43,0,30
14,43,0,32
14,43,0,38
14,43,0,45
14,43,0,48
14,43,0,50
14,43,0,51
14,43,0,53
14,43,0,59
14,43,0,60
14,44,0,9
14,44,0,23
14,44,0,24
14,44,0,30
14,44,0,32
14,44,0,33
14,44,0,38
14,44,0,39
14,44,0,45
14,44,0,50
14,44,0,53
14,44,0,60
14,45,0,9
14,45,0,23
14,45,0,24
14,45,0,30
14,45,0,32
14,45,0,33
14,45,0,38
14,45,0,39
14,45,0,45
14,45,0,48
14,45,0,50
14,45,0,51
14,45,0,53
14,45,0,59
14,45,0,60
14,46,6,9
14,46,6,23
14,46,6,24
14,46,6,32
14,46,6,33
14,46,6,38
14,46,6,39
14,46,6,45
