subject,index,n_since_last_click,channel
16,1,0,18
16,1,0,19
16,1,0,28
16,1,0,29
16,1,0,90
16,1,0,91
16,2,1,18
16,2,1,19
16,2,1,28
16,2,1,29
16,2,1,91
16,3,0,18
16,3,0,19
16,3,0,28
16,3,0,29
16,3,0,90
16,3,0,91
16,4,0,18
16,4,0,19
16,4,0,28
16,4,0,29
16,4,0,90
16,4,0,91
16,5,0,18
16,5,0,19
16,5,0,28
16,5,0,29
16,5,0,90
16,5,0,91
16,6,0,18
16,6,0,19
16,6,0,28
16,6,0,29
16,6,0,90
16,6,0,91
16,7,0,18
16,7,0,19
16,7,0,28
16,7,0,29
16,7,0,90
16,7,0,91
16,8,0,18
16,8,0,19
16,8,0,28
16,8,0,29
16,8,0,90
16,8,0,91
16,9,0,18
16,9,0,19
16,9,0,28
16,9,0,29
16,9,0,90
16,9,0,91
16,10,0,18
16,10,0,19
16,10,0,28
16,10,0,29
16,10,0,90
16,11,3,18
16,11,3,19
16,11,3,29
16,11,3,90
16,11,3,91
16,12,3,18
16,12,3,19
16,12,3,28
16,12,3,29
16,12,3,90
16,13,0,18
16,13,0,19
16,13,0,28
16,13,0,29
16,13,0,90
16,13,0,91
16,14,10,18
16,14,10,19
16,14,10,28
16,14,10,29
16,14,10,90
16,14,10,91
16,15,0,19
16,15,0,28
16,15,0,29
16,15,0,90
16,15,0,91
16,16,0,18
16,16,0,19
16,16,0,28
16,16,0,29
16,16,0,90
16,16,0,91
16,17,0,18
16,17,0,19
16,17,0,28
16,17,0,29
16,17,0,90
16,17,0,91
16,18,0,18
16,18,0,19
16,18,0,28
16,18,0,29
16,18,0,90
16,18,0,91
16,19,10,18
16,19,10,19
16,19,10,28
16,19,10,29
16,19,10,90
16,19,10,91
16,20,0,18
16,20,0,19
16,20,0,28
16,20,0,29
16,20,0,90
16,20,0,91
16,21,0,18
16,21,0,19
16,21,0,28
16,21,0,29
16,21,0,90
16,21,0,91
16,22,22,18
16,22,22,19
16,22,22,28
16,22,22,29
16,22,22,90
16,22,22,91
16,23,0,18
16,23,0,19
16,23,0,28
16,23,0,29
16,23,0,90
16,23,0,91
16,24,33,18
16,24,33,19
16,24,33,28
16,24,33,29
16,24,33,90
16,24,33,91
16,25,0,18
16,25,0,19
16,25,0,28
16,25,0,29
16,25,0,91
16,26,0,18
16,26,0,19
16,26,0,28
16,26,0,29
16,26,0,90
16,26,0,91
16,27,0,18
16,27,0,19
16,27,0,28
16,27,0,29
16,27,0,90
16,27,0,91
16,28,3,18
16,28,3,19
16,28,3,28
16,28,3,29
16,28,3,91
16,29,6,18
16,29,6,19
16,29,6,28
16,29,6,29
16,29,6,90
16,29,6,91
16,30,0,18
16,30,0,19
16,30,0,28
16,30,0,29
16,30,0,90
16,30,0,91
16,31,0,18
16,31,0,19
16,31,0,28
16,31,0,29
16,31,0,90
16,31,0,91
16,32,0,18
16,32,0,19
16,32,0,28
16,32,0,29
16,32,0,90
16,32,0,91
16,33,0,18
16,33,0,19
16,33,0,28
16,33,0,29
16,33,0,90
16,33,0,91
16,34,5,18
16,34,5,19
16,34,5,28
16,34,5,29
16,34,5,90
16,34,5,91
16,35,5,18
16,35,5,19
16,35,5,28
16,35,5,29
16,35,5,90
16,35,5,91
16,36,2,18
16,36,2,19
16,36,2,28
16,36,2,29
16,36,2,90
16,36,2,91
16,37,0,18
16,37,0,19
16,37,0,28
16,37,0,29
16,37,0,90
16,37,0,91
16,38,20,18
16,38,20,19
16,38,20,28
16,38,20,29
16,38,20,90
16,38,20,91
16,39,27,18
16,39,27,19
16,39,27,28
16,39,27,29
16,39,27,90
16,39,27,91
16,40,0,18
16,40,0,19
16,40,0,28
16,40,0,29
16,40,0,90
16,40,0,91
16,41,0,18
16,41,0,19
16,41,0,28
16,41,0,29
16,41,0,90
16,41,0,91
16,42,23,18
16,42,23,19
16,42,23,28
16,42,23,29
16,42,23,90
16,42,23,91
16,43,0,18
16,43,0,19
16,43,0,28
16,43,0,29
16,43,0,90
16,43,0,91
16,44,7,18
16,44,7,19
16,44,7,28
16,44,7,29
16,44,7,90
16,44,7,91
16,45,18,18
16,45,18,19
16,45,18,28
16,45,18,29
16,45,18,90
16,45,18,91
16,46,0,18
16,46,0,19
16,46,0,28
16,46,0,29
16,46,0,90
16,46,0,91
16,47,15,19
16,47,15,28
16,47,15,29
16,47,15,90
16,47,15,91
16,48,4,18
16,48,4,19
16,48,4,28
16,48,4,29
16,48,4,90
16,48,4,91
16,49,0,18
16,49,0,19
16,49,0,28
16,49,0,29
16,49,0,90
16,50,18,18
16,50,18,19
16,50,18,28
16,50,18,29
16,50,18,90
16,50,18,91
16,51,16,18
16,51,16,19
16,51,16,28
16,51,16,29
16,51,16,90
16,51,16,91
16,52,13,18
16,52,13,19
16,52,13,28
16,52,13,29
16,52,13,90
16,52,13,91
16,53,6,18
16,53,6,19
16,53,6,28
16,53,6,29
16,53,6,90
16,53,6,91
16,54,0,18
16,54,0,19
16,54,0,28
16,54,0,29
16,54,0,90
16,54,0,91
16,55,0,18
16,55,0,19
16,55,0,28
16,55,0,29
16,55,0,90
16,55,0,91
16,56,3,18
16,56,3,19
